date,home_team,away_team,home_score,away_score,tournament,neutral
2022-05-08,Minnesota United,FC Cincinnati,0,1,mls,FALSE
2022-05-08,FC Dallas,Seattle Sounders,2,0,mls,FALSE
2022-05-08,San Jose Earthquakes,Colorado Rapids,1,0,mls,FALSE
2022-05-08,Los Angeles FC,Philadelphia Union,2,2,mls,FALSE
2022-05-08,Vancouver Whitecaps,Toronto,1,0,mls,FALSE
2022-05-08,Nashville SC,Real Salt Lake,2,0,mls,FALSE
2022-05-08,Austin,Los Angeles Galaxy,0,1,mls,FALSE
2022-05-14,Toronto,Orlando City SC,0,1,mls,FALSE
2022-05-14,Colorado Rapids,Los Angeles FC,2,0,mls,FALSE
2022-05-14,Vancouver Whitecaps,San Jose Earthquakes,3,3,mls,FALSE
2022-05-14,New York City,Columbus Crew,2,0,mls,FALSE
2022-05-14,Charlotte,CF Montreal,0,2,mls,FALSE
2022-05-14,Philadelphia Union,New York Red Bulls,1,1,mls,FALSE
2022-05-15,Chicago Fire,FC Cincinnati,1,2,mls,FALSE
2022-05-15,Inter Miami,DC United,2,2,mls,FALSE
2022-05-15,Houston Dynamo,Nashville SC,2,0,mls,FALSE
2022-05-15,Real Salt Lake,Austin,2,1,mls,FALSE
2022-05-15,Portland Timbers,Sporting Kansas City,7,2,mls,FALSE
2022-05-15,Los Angeles Galaxy,FC Dallas,1,3,mls,FALSE
2022-05-15,Atlanta United,New England Revolution,2,2,mls,FALSE
2022-05-15,Seattle Sounders,Minnesota United,3,1,mls,FALSE
2022-05-18,Philadelphia Union,Inter Miami,0,0,mls,FALSE
2022-05-18,New York Red Bulls,Chicago Fire,3,3,mls,FALSE
2022-05-18,DC United,New York City,0,2,mls,FALSE
2022-05-19,Minnesota United,Los Angeles Galaxy,1,1,mls,FALSE
2022-05-19,Houston Dynamo,Seattle Sounders,0,1,mls,FALSE
2022-05-19,Sporting Kansas City,Colorado Rapids,2,1,mls,FALSE
2022-05-19,Nashville SC,CF Montreal,2,1,mls,FALSE
2022-05-19,Vancouver Whitecaps,FC Dallas,2,1,mls,FALSE
2022-05-19,San Jose Earthquakes,Portland Timbers,3,2,mls,FALSE
2022-05-19,Los Angeles FC,Austin,1,2,mls,FALSE
2022-05-21,FC Cincinnati,New England Revolution,2,3,mls,FALSE
2022-05-21,DC United,Toronto,2,2,mls,FALSE
2022-05-21,Nashville SC,Atlanta United,2,2,mls,FALSE
2022-05-22,Columbus Crew,Los Angeles FC,0,2,mls,FALSE
2022-05-22,CF Montreal,Real Salt Lake,1,2,mls,FALSE
2022-05-22,New York City,Chicago Fire,1,0,mls,FALSE
2022-05-22,Charlotte,Vancouver Whitecaps,2,1,mls,FALSE
2022-05-22,Inter Miami,New York Red Bulls,2,0,mls,FALSE
2022-05-22,FC Dallas,Minnesota United,1,2,mls,FALSE
2022-05-22,San Jose Earthquakes,Sporting Kansas City,1,1,mls,FALSE
2022-05-23,Los Angeles Galaxy,Houston Dynamo,0,3,mls,FALSE
2022-05-23,Colorado Rapids,Seattle Sounders,1,0,mls,FALSE
2022-05-23,Austin,Orlando City SC,2,2,mls,FALSE
2022-05-23,Portland Timbers,Philadelphia Union,0,2,mls,FALSE
